No dump file specified
 num     #instances         #bytes  class name (module)
  88:           540          12960  java.util.jar.Attributes$Name (java.base@15.0.1)
  89:           255          12800  [Ljava.lang.reflect.Method; (java.base@15.0.1)
  90:           118          12272  java.lang.invoke.InnerClassLambdaMetafactory (java.base@15.0.1)
  91:           499          11976  java.lang.PublicMethods$MethodList (java.base@15.0.1)
  92:           360          11520  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
  93:           179          11456  jdk.internal.org.objectweb.asm.SymbolTable (java.base@15.0.1)
  94:           133          11384  [Lio.netty.buffer.PoolSubpage;
  95:           355          11360  java.io.File (java.base@15.0.1)
  96:           133          10640  org.jboss.logmanager.LoggerNode
  97:           324          10368  io.netty.util.internal.LongAdderCounter
  98:           427          10248  io.netty.channel.ChannelHandlerMask$2
  99:           626          10016  [Ljava.util.regex.IntHashSet; (java.base@15.0.1)
 100:           405           9720  io.smallrye.config.NameIterator
 101:           400           9600  java.util.ImmutableCollections$Set12 (java.base@15.0.1)
 102:            74           9472  sun.nio.fs.UnixFileAttributes (java.base@15.0.1)
 103:           236           9440  java.io.FileNotFoundException (java.base@15.0.1)
 104:            17           9112  io.vertx.core.impl.VertxThread
 105:           111           8960  [Ljava.util.WeakHashMap$Entry; (java.base@15.0.1)
 106:           552           8832  io.smallrye.config.SysPropConfigSource$$Lambda$43/0x0000000800bc0040
 107:           138           8832  java.util.zip.Inflater (java.base@15.0.1)
 108:           356           8544  java.lang.module.ModuleDescriptor$Exports (java.base@15.0.1)
 109:           209           8360  java.util.logging.Logger$ConfigurationData (java.logging@15.0.1)
 110:           174           8352  java.lang.invoke.LambdaForm (java.base@15.0.1)
 111:           171           8208  jdk.internal.org.objectweb.asm.AnnotationWriter (java.base@15.0.1)
 112:           247           7904  sun.security.util.KnownOIDs (java.base@15.0.1)
 113:           188           7520  java.util.HashMap$KeyIterator (java.base@15.0.1)
 114:           310           7440  java.util.concurrent.CopyOnWriteArrayList (java.base@15.0.1)
 115:           464           7424  java.lang.Integer (java.base@15.0.1)
 116:           180           7200  java.lang.invoke.DirectMethodHandle$Constructor (java.base@15.0.1)
 117:           432           6912  java.lang.Byte (java.base@15.0.1)
 118:           214           6848  io.netty.util.AsciiString
 119:           284           6816  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@15.0.1)
 120:           207           6624  java.lang.invoke.LambdaForm$NamedFunction (java.base@15.0.1)
 121:           272           6560  [Ljava.lang.reflect.Constructor; (java.base@15.0.1)
 122:           158           6320  java.lang.Package$VersionInfo (java.base@15.0.1)
 123:           195           6240  java.lang.invoke.MethodHandleNatives$CallSiteContext (java.base@15.0.1)
 124:           258           6192  java.lang.Long (java.base@15.0.1)
 125:           186           5952  java.lang.invoke.MethodTypeForm (java.base@15.0.1)
 126:           179           5728  java.lang.invoke.DirectMethodHandle (java.base@15.0.1)
 127:           236           5664  jdk.internal.loader.FileURLMapper (java.base@15.0.1)
 128:           236           5664  jdk.internal.loader.URLClassPath$JarLoader$3 (java.base@15.0.1)
 129:           118           5664  jdk.internal.org.objectweb.asm.ClassReader (java.base@15.0.1)
 130:           176           5632  java.lang.Package (java.base@15.0.1)
 131:           175           5600  java.lang.invoke.MethodHandles$Lookup$ClassDefiner (java.base@15.0.1)
 132:           110           5280  java.util.WeakHashMap$EntryIterator (java.base@15.0.1)
 133:            66           5280  java.util.zip.ZipFile$Source (java.base@15.0.1)
 134:           219           5256  java.util.Collections$UnmodifiableCollection$1 (java.base@15.0.1)
 135:            65           5200  java.net.URI (java.base@15.0.1)
 136:           292           5136  [Lsun.reflect.generics.tree.TypeArgument; (java.base@15.0.1)
 137:           157           5024  io.smallrye.common.expression.LiteralNode
 138:           154           4928  java.io.CharArrayWriter (java.base@15.0.1)
 139:           153           4896  java.util.RegularEnumSet (java.base@15.0.1)
 140:           121           4840  java.math.BigInteger (java.base@15.0.1)
 141:            99           4752  java.util.WeakHashMap (java.base@15.0.1)
 142:           147           4704  io.smallrye.config.ExpressionConfigSourceInterceptor$$Lambda$53/0x0000000800bc9748
 143:            32           4608  io.netty.buffer.PoolArena$DirectArena
 144:            32           4608  io.netty.buffer.PoolArena$HeapArena
 145:           282           4512  sun.reflect.generics.tree.ClassTypeSignature (java.base@15.0.1)
 146:            51           4488  java.util.regex.Pattern (java.base@15.0.1)
 147:            12           4416  java.lang.Thread (java.base@15.0.1)
 148:           108           4320  java.util.HashMap$EntryIterator (java.base@15.0.1)
 149:           179           4296  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@15.0.1)
 150:           175           4200  java.lang.invoke.MethodHandles$Lookup$ClassFile (java.base@15.0.1)
 151:            75           4200  java.nio.HeapByteBuffer (java.base@15.0.1)
 152:           175           4176  [Ljava.lang.reflect.Type; (java.base@15.0.1)
 153:            74           4144  java.util.concurrent.ConcurrentHashMap$ValueIterator (java.base@15.0.1)
 154:           256           4096  java.lang.Short (java.base@15.0.1)
 155:           128           4096  java.lang.module.ModuleDescriptor$Requires (java.base@15.0.1)
 156:            73           4088  java.io.FileCleanable (java.base@15.0.1)
 157:            72           4032  java.lang.Module (java.base@15.0.1)
 158:           168           4032  java.util.ImmutableCollections$SetN (java.base@15.0.1)
 159:           164           3936  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@15.0.1)
 160:            55           3928  [Ljava.lang.invoke.MethodHandle; (java.base@15.0.1)
 161:           161           3864  java.util.ImmutableCollections$List12 (java.base@15.0.1)
 162:            60           3840  java.lang.module.ModuleDescriptor (java.base@15.0.1)
 163:           120           3840  java.lang.ref.ReferenceQueue (java.base@15.0.1)
 164:           140           3832  [Ljdk.internal.org.objectweb.asm.Type; (java.base@15.0.1)
 165:            66           3696  java.util.jar.JarFile (java.base@15.0.1)
 166:           149           3640  [Lio.smallrye.common.expression.Expression$Flag;
 167:           148           3552  io.smallrye.common.expression.Expression
 168:           148           3552  sun.reflect.generics.factory.CoreReflectionFactory (java.base@15.0.1)
 169:           148           3552  sun.reflect.generics.scope.ClassScope (java.base@15.0.1)
 170:           147           3528  io.smallrye.common.expression.Expression$Itr
 171:           147           3528  io.smallrye.common.expression.ResolveContext
 172:            87           3480  java.lang.ref.Finalizer (java.base@15.0.1)
 173:           217           3472  java.util.Collections$UnmodifiableSet (java.base@15.0.1)
 174:           142           3408  sun.reflect.annotation.AnnotationInvocationHandler (java.base@15.0.1)
 175:           210           3360  jdk.internal.loader.URLClassPath$JarLoader$1 (java.base@15.0.1)
 176:            60           3360  jdk.internal.module.ModuleReferenceImpl (java.base@15.0.1)
 177:           138           3312  java.util.zip.Inflater$InflaterZStreamRef (java.base@15.0.1)
 178:            82           3280  java.io.FileDescriptor (java.base@15.0.1)
 179:            77           3216  [Ljava.security.ProtectionDomain; (java.base@15.0.1)
 180:             1           3208  [Ljava.util.Locale; (java.base@15.0.1)
 181:           100           3200  java.lang.invoke.BoundMethodHandle$Species_L (java.base@15.0.1)
 182:            57           3192  java.lang.invoke.InvokerBytecodeGenerator (java.base@15.0.1)
 183:           133           3192  org.jboss.logmanager.CopyOnWriteMap
 184:           133           3192  org.wildfly.common.lock.SpinLock
 185:           132           3168  org.jboss.logmanager.FastCopyHashMap$Entry
 186:            98           3136  java.lang.ref.WeakReference (java.base@15.0.1)
 187:           129           3096  java.time.Instant (java.base@15.0.1)
 188:           127           3048  java.util.ArrayDeque (java.base@15.0.1)
 189:           123           2952  java.util.regex.Pattern$BmpCharProperty (java.base@15.0.1)
 190:           182           2912  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@15.0.1)
 191:            18           2880  io.vertx.core.http.HttpServerOptions
 192:            90           2880  java.util.LinkedHashMap$LinkedKeyIterator (java.base@15.0.1)
 193:           119           2856  [Ljava.lang.invoke.MethodHandles$Lookup$ClassOption; (java.base@15.0.1)
 194:           119           2856  java.lang.invoke.ConstantCallSite (java.base@15.0.1)
 195:           118           2832  java.lang.invoke.InfoFromMemberName (java.base@15.0.1)
 196:           118           2832  java.lang.invoke.InnerClassLambdaMetafactory$ForwardingMethodGenerator (java.base@15.0.1)
 197:           118           2832  java.util.ImmutableCollections$Set12$1 (java.base@15.0.1)
 198:            59           2832  java.util.TreeMap (java.base@15.0.1)
 199:            86           2752  sun.nio.fs.UnixPath (java.base@15.0.1)
 200:            71           2696  [Ljava.lang.reflect.Field; (java.base@15.0.1)
 201:           108           2592  java.util.Collections$1 (java.base@15.0.1)
 202:            17           2584  io.netty.channel.nio.NioEventLoop
 203:           157           2512  jdk.internal.logger.DefaultLoggerFinder$1 (java.base@15.0.1)
 204:           104           2496  java.security.Provider$ServiceKey (java.base@15.0.1)
 205:            62           2480  jdk.internal.org.objectweb.asm.Handler (java.base@15.0.1)
 206:           103           2472  [[C (java.base@15.0.1)
 207:            44           2464  java.nio.HeapCharBuffer (java.base@15.0.1)
 208:            18           2448  io.netty.util.internal.InternalThreadLocalMap
