No dump file specified
 num     #instances         #bytes  class name (module)
  87:           403           6448  java.lang.Integer (java.base@15.0.1)
  88:           259           6216  java.lang.Long (java.base@15.0.1)
  89:           193           6176  java.lang.invoke.MethodTypeForm (java.base@15.0.1)
  90:           192           6144  io.micronaut.core.util.clhm.ConcurrentLinkedHashMap$Node
  91:           249           5976  java.security.SecureClassLoader$1 (java.base@15.0.1)
  92:           249           5976  java.util.zip.ZipFile$InflaterCleanupAction (java.base@15.0.1)
  93:           245           5880  java.lang.PublicMethods$MethodList (java.base@15.0.1)
  94:            88           5632  jdk.internal.org.objectweb.asm.FieldWriter (java.base@15.0.1)
  95:           166           5312  jdk.internal.org.objectweb.asm.Type (java.base@15.0.1)
  96:           110           5280  ch.qos.logback.classic.Logger
  97:           207           5120  [Lio.micronaut.core.type.Argument;
  98:           312           4992  java.lang.Byte (java.base@15.0.1)
  99:            61           4880  java.net.URI (java.base@15.0.1)
 100:            32           4864  io.netty.channel.nio.NioEventLoop
 101:           199           4776  io.netty.channel.ChannelHandlerMask$2
 102:           149           4768  io.micronaut.context.DefaultBeanContext$BeanKey
 103:           296           4736  java.util.HashSet (java.base@15.0.1)
 104:           193           4632  io.micronaut.core.util.clhm.ConcurrentLinkedHashMap$WeightedValue
 105:           187           4488  java.util.concurrent.atomic.AtomicLong (java.base@15.0.1)
 106:           186           4464  java.time.LocalDateTime (java.base@15.0.1)
 107:           139           4448  io.micronaut.core.convert.DefaultConversionService$ConvertiblePair
 108:            12           4416  java.lang.Thread (java.base@15.0.1)
 109:           183           4392  java.util.concurrent.ConcurrentLinkedQueue$Node (java.base@15.0.1)
 110:           108           4320  java.math.BigInteger (java.base@15.0.1)
 111:           105           4200  java.lang.invoke.DirectMethodHandle$Special (java.base@15.0.1)
 112:             4           4160  [Lio.netty.util.Recycler$DefaultHandle;
 113:           256           4096  java.lang.Short (java.base@15.0.1)
 114:           128           4096  java.lang.module.ModuleDescriptor$Requires (java.base@15.0.1)
